Title,Company,Company_Rating,Company_Reviews,Location,Salary_Range,Experience,Post_Day,Tags,Description
Data Scientist,Quantiphi Analytics Solutions,3.1,694,"['Mumbai', 'Bengaluru', 'Thiruvananthapuram']",Not disclosed,3-8 Yrs,12 Days Ago,"['Version control', 'Machine learning', 'Software development life cycle', 'Open source', 'Forecasting', 'AWS', 'Object oriented programming', 'Monitoring']","Experience with Cross validation, backtesting, model selection, hyper-parameter fine-tu..."
Data Scientist,Target,4.2,600,['Bengaluru'],Not disclosed,3-6 Yrs,10 Days Ago,"['Supply chain', 'MS Office package', 'Data analysis', 'data science', 'Diversity and Inclusion', 'Machine learning', 'Agile', 'Network security']",Four-year degree or equivalent experience . .
Data Scientist,Xoom,No rating,No reviews,['Bengaluru'],Not disclosed,5-7 Yrs,11 Days Ago,"['Unix', 'data science', 'Analytical', 'Wellness', 'Customer support', 'Customer experience', 'Operations', 'Financial services']",Understanding the funnel so that we can identify friction points and opportunities to i...
Data Scientist,Xoom,No rating,No reviews,"['Chennai', 'Bengaluru']",Not disclosed,3-5 Yrs,11 Days Ago,"['Analytical', 'Wellness', 'Application development', 'Risk management', 'Business intelligence', 'Data mining', 'Financial services', 'Analytics']","Trouble shooting any data, system and flow challenges while maintaining flawless strate..."
Data Scientist,Xoom,No rating,No reviews,"['Chennai', 'Bengaluru']",Not disclosed,4-7 Yrs,11 Days Ago,"['Computer science', 'deep learning', 'data science', 'Diversity and Inclusion', 'Machine learning', 'Wellness', 'Analytics', 'Monitoring']",These solutions will directly impact customer experience with PayPal products . What do...
Data Scientist,Xoom,No rating,No reviews,"['Chennai', 'Bengaluru']",Not disclosed,5-7 Yrs,11 Days Ago,"['Automation', 'Coding', 'Analytical', 'Finance', 'Diversity and Inclusion', 'Wellness', 'Risk management', 'Business intelligence']",experience in constructing ML models and developing end-to-end model pipelines is a plu...
Data Scientist,Ingersoll Rand,4.2,340,['Bengaluru'],8-14 Lacs PA,8-10 Yrs,11 Days Ago,"['Sql Database Development', 'Mlop', 'Preventive Maintenance', 'SQL', 'Python', 'Vertex', 'Ai Algorithms', 'Statistics.']",Job & Division Summary: The Engineer is in charge of developing and managing a large I...
Data Scientist,Kaleidofin,3.6,26,"['Hybrid', 'Chennai', 'Bengaluru']",Not disclosed,1-4 Yrs,12 Days Ago,"['Python', 'Machine Learning', 'Deep Learning', 'Machine', 'Data']",Experience in risk and credit score domains preferredCollections and Digital Channels e...
Data Scientist (AI/ML),OneOrigin,No rating,No reviews,['Bengaluru'],15-25 Lacs PA,6-8 Yrs,12 Days Ago,"['Artificial Intelligence', 'LLM', 'Machine Learning', 'Pytorch', 'NLP', 'Azure', 'PincoDB', 'Hadoop']","About the Role: At OneOrigin, ML-powered solutions drive our business, and they add si..."
Data Scientist - Computer Vision (Immediate Joiners),Valiance Solutions,3.6,19,['Bengaluru'],Not disclosed,1-6 Yrs,12 Days Ago,"['computer vision algorithms', 'Object Detection', 'C++', 'face detection', 'scaling model', 'model deployment', 'Ml Algorithms', 'Deep Learning']",Job Title: Data Scientist (Computer Vision)Summary:We are seeking a highly skilled and ...
